net,length_um
clknet_5_5__leaf_clk,224
_09065_,223.9
_12098_,223.83
net85,223.72
_10735_,223.42
genblk1.pcpi_mul.rs2\[32\],223.17
_11923_,223.15
decoded_imm\[26\],223.005
_13888_,222.84
_08735_,222.72
_02427_,222.56
_05688_,222.36
_05721_,222.18
net184,222.1
_08239_,222.09
clknet_5_1__leaf_clk,222.07
_08260_,222.02
_14269_,221.78
_13904_,221.68
_09796_,221.66
_08546_,221.56
_08771_,221.46
net211,221.36
_06201_,221
net40,220.97
_11268_,220.88
_05758_,220.76
instr_sub,220.68
_11770_,220.64
_06129_,220.48
net24,220.08
net42,219.88
net239,219.88
_11820_,219.73
net255,219.7
net268,219.64
_03158_,219.26
alu_out_q\[2\],219.22
_08561_,218.97
_05779_,218.62
_05656_,218.54
net231,218.32
_13715_,218.035
_03308_,217.87
_13921_,217.66
net162,217.6
net100,217.55
alu_out_q\[17\],217.42
_05302_,217.4
net201,217.02
net270,216.92
_05720_,216.88
net309,216.46
_11112_,216.24
net60,216.015
_02331_,215.98
_11958_,215.97
_11599_,215.68
_13612_,215.665
_05677_,215.46
_10285_,215.41
net88,215.36
_07041_,215.18
_00773_,215.135
_05701_,214.875
_14395_,214.85
_01582_,214.615
net287,214.56
net258,214.42
_07717_,214.265
net291,214.235
_05485_,214.15
clknet_5_22__leaf_clk,214.01
_08526_,213.98
_08286_,213.96
_08604_,213.94
_06405_,213.9
_11085_,213.48
decoded_imm\[21\],213.465
_09520_,213.42
_13861_,213.35
_01648_,213.22
_08240_,213.1
net195,213
_09521_,212.92
_12674_,212.88
clknet_5_12__leaf_clk,212.74
_14050_,212.58
_07740_,212.28
_10717_,212.17
net232,212.16
_11039_,212.14
_02513_,212.08
_14499_,212.04
net81,211.8
_00037_,211.78
_11891_,211.69
_08565_,211.66
_09210_,211.58
_08113_,211.54
net61,211.385
reg_next_pc\[18\],211.36
_05438_,211.2
_05681_,211.2
_01538_,211.07
_11177_,211.05
_14006_,210.92
_09751_,210.88
_11890_,210.88
_03157_,210.64
_11356_,210.55
_10305_,210.545
_10411_,210.5
clknet_5_24__leaf_clk,210.45
_14008_,210.36
_10170_,210.195
_05300_,210.14
_11280_,209.82
net233,209.78
_09139_,209.62
_10997_,209.385
_10675_,209.3
_10639_,209.19
_13618_,209.08
_09211_,209.04
_05703_,208.98
_08268_,208.9
_09864_,208.86
_05499_,208.84
decoded_imm\[28\],208.68
_08521_,208.64
_12774_,208.58
_08271_,208.45
_05285_,208.4
_06031_,208.3
_10757_,208.06
_08496_,208.04
_08245_,208.01
_10638_,207.92
_08470_,207.85
_13817_,207.8
_14324_,207.63
_06620_,207.6
_07693_,207.58
_07049_,207.46
_10091_,207.45
net57,207.3
net251,207.18
_09480_,207.13
_05391_,207.06
_11236_,207.04
_09075_,207.03
_06530_,206.75
_02299_,206.69
_08249_,206.68
_12026_,206.5
_10426_,206.44
net334,206.36
